LocationDesc,YearStart,LocationAbbr,Question,DataValueUnit,DataValueType,DataValue
Alabama,2013,AL,Hospitalizations for asthma,"cases per 10,000",Crude Rate,NaN
Alaska,2013,AK,Hospitalizations for asthma,"cases per 10,000",Crude Rate,NaN
Arizona,2013,AZ,Hospitalizations for asthma,"cases per 10,000",Crude Rate,9.06
Arkansas,2013,AR,Hospitalizations for asthma,"cases per 10,000",Crude Rate,7.72
California,2013,CA,Hospitalizations for asthma,"cases per 10,000",Crude Rate,NaN
Colorado,2013,CO,Hospitalizations for asthma,"cases per 10,000",Crude Rate,6.99
Connecticut,2013,CT,Hospitalizations for asthma,"cases per 10,000",Crude Rate,NaN
Delaware,2013,DE,Hospitalizations for asthma,"cases per 10,000",Crude Rate,NaN
Florida,2013,FL,Hospitalizations for asthma,"cases per 10,000",Crude Rate,14.68
Georgia,2013,GA,Hospitalizations for asthma,"cases per 10,000",Crude Rate,NaN
Hawaii,2013,HI,Hospitalizations for asthma,"cases per 10,000",Crude Rate,8.9
Idaho,2013,ID,Hospitalizations for asthma,"cases per 10,000",Crude Rate,NaN
Illinois,2013,IL,Hospitalizations for asthma,"cases per 10,000",Crude Rate,NaN
Indiana,2013,IN,Hospitalizations for asthma,"cases per 10,000",Crude Rate,NaN
Iowa,2013,IA,Hospitalizations for asthma,"cases per 10,000",Crude Rate,6.14
Kansas,2013,KS,Hospitalizations for asthma,"cases per 10,000",Crude Rate,NaN
Kentucky,2013,KY,Hospitalizations for asthma,"cases per 10,000",Crude Rate,11.31
Louisiana,2013,LA,Hospitalizations for asthma,"cases per 10,000",Crude Rate,NaN
Maine,2013,ME,Hospitalizations for asthma,"cases per 10,000",Crude Rate,NaN
Maryland,2013,MD,Hospitalizations for asthma,"cases per 10,000",Crude Rate,NaN
Massachusetts,2013,MA,Hospitalizations for asthma,"cases per 10,000",Crude Rate,NaN
Michigan,2013,MI,Hospitalizations for asthma,"cases per 10,000",Crude Rate,12.51
Minnesota,2013,MN,Hospitalizations for asthma,"cases per 10,000",Crude Rate,NaN
Mississippi,2013,MS,Hospitalizations for asthma,"cases per 10,000",Crude Rate,NaN
Missouri,2013,MO,Hospitalizations for asthma,"cases per 10,000",Crude Rate,NaN
Montana,2013,MT,Hospitalizations for asthma,"cases per 10,000",Crude Rate,NaN
Nebraska,2013,NE,Hospitalizations for asthma,"cases per 10,000",Crude Rate,5.68
Nevada,2013,NV,Hospitalizations for asthma,"cases per 10,000",Crude Rate,9.19
New Hampshire,2013,NH,Hospitalizations for asthma,"cases per 10,000",Crude Rate,NaN
New Jersey,2013,NJ,Hospitalizations for asthma,"cases per 10,000",Crude Rate,15.67
New Mexico,2013,NM,Hospitalizations for asthma,"cases per 10,000",Crude Rate,8.83
New York,2013,NY,Hospitalizations for asthma,"cases per 10,000",Crude Rate,17.05
North Carolina,2013,NC,Hospitalizations for asthma,"cases per 10,000",Crude Rate,9.18
North Dakota,2013,ND,Hospitalizations for asthma,"cases per 10,000",Crude Rate,NaN
Ohio,2013,OH,Hospitalizations for asthma,"cases per 10,000",Crude Rate,NaN
Oklahoma,2013,OK,Hospitalizations for asthma,"cases per 10,000",Crude Rate,NaN
Oregon,2013,OR,Hospitalizations for asthma,"cases per 10,000",Crude Rate,5
Pennsylvania,2013,PA,Hospitalizations for asthma,"cases per 10,000",Crude Rate,NaN
Rhode Island,2013,RI,Hospitalizations for asthma,"cases per 10,000",Crude Rate,NaN
South Carolina,2013,SC,Hospitalizations for asthma,"cases per 10,000",Crude Rate,11.57
South Dakota,2013,SD,Hospitalizations for asthma,"cases per 10,000",Crude Rate,6.07
Tennessee,2013,TN,Hospitalizations for asthma,"cases per 10,000",Crude Rate,NaN
Texas,2013,TX,Hospitalizations for asthma,"cases per 10,000",Crude Rate,NaN
Utah,2013,UT,Hospitalizations for asthma,"cases per 10,000",Crude Rate,NaN
Vermont,2013,VT,Hospitalizations for asthma,"cases per 10,000",Crude Rate,5.01
Virginia,2013,VA,Hospitalizations for asthma,"cases per 10,000",Crude Rate,NaN
Washington,2013,WA,Hospitalizations for asthma,"cases per 10,000",Crude Rate,5.7
West Virginia,2013,WV,Hospitalizations for asthma,"cases per 10,000",Crude Rate,11.55
Wisconsin,2013,WI,Hospitalizations for asthma,"cases per 10,000",Crude Rate,8.54
Wyoming,2013,WY,Hospitalizations for asthma,"cases per 10,000",Crude Rate,NaN
